"UMKM Name","Product","Asset Total (Rp. Juta)","Annual Sales (Rp. Juta)","Employees","Survey Conducted","","","","","",""
"Sumarni","Tenun","160,200,000","29,100,000","1","2013","","","","","",""
"Mulyana","Tenun","166,400,000","33,000,000","1","2013","","","","","",""
"Makmur Jaya","Pembuatan Krupuk","103","102","2","2012","","","","","",""
"UD Intan Karya","Pengolaha Kayu","33.5","180","2","2010","","","","","",""
"Rama Sadel","Jasa Kulit Motor","54.5","10.4","2","2011","","","","","",""
"Industri Mie Ayam","Industri Mie Ayam","5","16","2","2011","","","","","",""
"Kerupuk Istimewa","Industri Kerupuk","159.7","315","10","2011","","","","","",""
"Gethuk Lindri Pak Sumain","Produksi Gethuk","12.4","216","3","2011","","","","","",""
"Renbow Cake","Industri","3.03","36","2","2013","","","","","",""
"UD Anak Tunggal Jepara","Kusen Pintu Dan Cendela","42.5","240","2","2010","","","","","",""
"UD Sinar Jaya","Kusen,pintu","90","420","3","2010","","","","","",""
"TOKO H.AHMAD","PERABOT DAPUR","6.5","90","6","2011","","","","","",""
"Habibah","Tenun","179,530,000","88,800,000","1","2013","","","","","",""
"Keripik Gigik","Pengolahan Singkong","12","466","3","2013","","","","","",""
"Indo Tang","Tenun","101,700,000","38,500,000","1","2013","","","","","",""
"Aspianah","Manik","156,950,000","24,600,000","1","2013","","","","","",""
"UD Vino Jaya","Kusen ,pintu","57","264","1","2010","","","","","",""
"UD Karya Barokah","Kusen Pintu","67.5","192","2","2010","","","","","",""
"UD Tunas Karya","Kusen Pintu,cendela","52.5","260","2","2010","","","","","",""
"Asep Irmawan","Percetakan","17","116.4","2","2010","","","","","",""
"UD RJ","Pengolahan Kayu","65","360","2","2010","","","","","",""
"Hasnawati","Manik","167,875,000","26,800,000","1","2013","","","","","",""
"Arbayah","Manik","167,875,000","26,800,000","1","2013","","","","","",""
"Bunga","Tenun","130,250,000","66,000,000","1","2013","","","","","",""
"Nor Syaidah","Tenun","150,085,000","43,400,000","1","2013","","","","","",""
"Noor","Tenun","141,005,000","29,400,000","1","2013","","","","","",""
"Kasmiyati","Tenun","142,805,000","29,220,000","1","2013","","","","","",""
"Isa","Tenun","157,000,000","45,600,000","1","2013","","","","","",""
"IRFAN KERANG","PENGOLAHAN KERANG","88.75","60.9","2","2011","","","","","",""
"ES DAWET AYU","ES DAWET","114.46","250","4","2011","","","","","",""
"PENGOLAHAN ATAP RUMBIA","ATAP RUMBIA","96.12","51.04","2","2011","","","","","",""
"Warung Ngalim","Warung Ngalim","16.75","162","2","2014","","","","","",""
"Es Batu Masriah","Es Batu","14.2","5.5","2","2014","","","","","",""
"Bakso Rohman","Bakso","6.03","82.5","4","2014","","","","","",""
"Cendol Kasrani","Cendol","1.8","60","2","2014","","","","","",""
"Lisa Bakery","Industi","213.1","144","1","2013","","","","","",""
"I Kabi","Tenun","11,500,000","52,000,000","1","2013","","","","","",""
"Indo Asse","Tenun","129,000,000","52,000,000","1","2013","","","","","",""
"Sakriah","Tenun Samarinda","142,480,000","53,915,000","3","2013","","","","","",""
"Sumarni","Manik","209,650,000","45,880,000","1","2013","","","","","",""
"Jamriana","Tenun","228,200,000","53,625,000","2","2013","","","","","",""
"Atira","Manik","189,100,000","45,040,000","1","2013","","","","","",""
"Iksi","Tenun","120,300,000","45,600,000","1","2013","","","","","",""
"Marhumah","Tenun","117,550,000","38,500,000","1","2013","","","","","",""
"UD Sarana Wisma","Kusen Pintu Dan Cendela","60.5","240","3","2010","","","","","",""
"UD Karya Mustika","Pengolahan Kayu","195","600","11","2010","","","","","",""
"UD Galih Mulyo","Kusen Pintu Dan Cendela","157.5","330","2","2010","","","","","",""
"Akhsama Higienis","Air Isi Ulang","159.5","88","2","2011","","","","","",""
"Mariyati Joss","Kue-kue Basah","118.5","30","12","2011","","","","","",""
"Depo Air Isi Ulang Oasezam","Depo Air Isi Ulang","41.39","189","5","2011","","","","","",""
"Hasni","Tenun","190,850,000","47,050,000","1","2013","","","","","",""
"Matahari","Tenun","172,430,000","43,620,000","1","2013","","","","","",""
"Sitti Nahriyah M","Tenun","174,950,000","44,300,000","1","2013","","","","","",""
"Gusnawati","Tenun","162,380,000","57,100,000","1","2013","","","","","",""
"Iirajeng","Tenun","162,180,000","41,200,000","1","2013","","","","","",""
